Id,Label,timeset,genres,followers,related artist,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,modularity_class,componentnumber,strongcompnum,clustering
223,Juice WRLD,,"['chicago rap', 'melodic rap']",19872480,"Trippie Redd, DaBaby, Don Toliver, Lil Yachty, Lil Tecca, Lil Uzi Vert, Lil Mosey, 6ix9ine, YNW Melly, NAV",16,0.123843,0.205919,192.627778,1,10,11,66,0,41,0.336364
224,Juju,,['cumbia sonidera'],13802,,0,0,0,0,1,0,1,10,2,209,0
225,Justin Bieber,,"['canadian pop', 'pop']",50928824,"Liam Payne, One Direction, Jonas Brothers, ZAYN, Niall Horan, Shawn Mendes, Camila Cabello, Selena Gomez, Khalid, Demi Lovato, Bazzi",10,0.229358,0.300113,49.811169,1,11,12,87,0,158,0.393939
226,Justin Quiles,,"['latin', 'reggaeton', 'trap latino']",2987994,"Wisin, Rvssian, Farruko, Kevin Roldan",9,0.267176,0.388515,4.801659,3,4,7,100,0,32,0.166667
227,Justin Timberlake,,"['dance pop', 'pop']",11241025,"Gwen Stefani, Nelly Furtado, Black Eyed Peas, *NSYNC",14,0.128793,0.160617,185,3,4,7,87,0,41,0.25
228,Justin Wellington,,"['melanesian pop', 'pacific islands pop', 'png pop']",22262,,0,0,0,0,0,0,0,45,52,210,0
229,K CAMP,,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",1368571,,0,0,0,0,2,0,2,16,0,14,0
230,K/DA,,['k-pop girl group'],1321105,"Red Velvet, TWICE, BLACKPINK",3,0.6,0.722222,0,1,3,4,8,4,77,0.833333
231,KALIM,,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol']",1528676,,0,0,0,0,2,0,2,10,2,2,0
232,KAROL G,,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",18813844,"Nio Garcia, Manuel Turizo, Myke Towers, Rvssian, Anuel AA, Kevin Roldan, Jhay Cortez, Sebastian Yatra, Ozuna, Lunay",6,0.406977,0.54619,3135.012498,8,10,18,100,0,32,0.406593
233,KASIMIR1441,,"['german alternative rap', 'german hip hop', 'german trap', 'tekk']",202436,,0,0,0,0,0,0,0,46,53,211,0
234,KC Rebell,,"['german drill', 'german hip hop']",1115696,"Zuna, Bausa, Kontra K, Dardan, RAF Camora",4,0.428571,0.577778,29.75,8,5,13,10,2,9,0.236364
235,KHEA,,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",3364936,"Bizarrap, Trueno",1,1,1,0,2,2,4,94,17,97,1
236,KSI,,['uk hip hop'],2108117,"S1mba, Stormzy, Tion Wayne",2,0.714286,0.8,0,0,3,3,91,0,216,0
237,Kali Uchis,,"['colombian pop', 'pop']",2136847,"SZA, WILLOW",23,0.075065,0.102945,178,3,2,5,16,0,41,0.5
238,Kane Brown,,"['contemporary country', 'country', 'country road']",3615409,"Luke Combs, Morgan Wallen, Dan + Shay",1,1,1,0,3,3,6,57,31,133,1
239,Kanye West,,"['chicago rap', 'rap']",15226801,"J. Cole, Baby Keem, Kid Cudi, BROCKHAMPTON, Kendrick Lamar, Meek Mill, Big Sean",17,0.120989,0.182505,0,0,7,7,32,0,217,0.261905
240,Katy Perry,,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",19388108,"Miley Cyrus, Gwen Stefani, P!nk, Kelly Clarkson, Selena Gomez, Demi Lovato, Britney Spears",12,0.187433,0.246641,174.682114,3,7,10,87,0,46,0.263889
241,Kawe,,['brazilian hip hop'],508909,,0,0,0,0,1,0,1,56,54,218,0
242,Kehlani,,"['dance pop', 'pop', 'r&b']",5073104,"H.E.R., Normani",22,0.08078,0.109616,913.203463,8,2,10,16,0,41,0.214286
243,Kelly Clarkson,,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",8034527,Leona Lewis,1,1,1,33.211816,9,1,10,87,0,21,0.194444
