ID,Label,Genres,Followers,Related Artist
468,Tony Bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",675400,Perry Como
469,Topic,"['dance pop', 'edm', 'electro house', 'german dance', 'pop dance', 'pop edm', 'tropical house']",156782,"twocolors, Regard"
470,Tory Lanez,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",3914569,"Ty Dolla $ign, PARTYNEXTDOOR, Tyga, French Montana, Bryson Tiller, Meek Mill"
471,Travis Scott,"['rap', 'slap house']",18452405,"Migos, Gunna, Childish Gambino, Lil Uzi Vert, A$AP Ferg, Kendrick Lamar, Meek Mill, Playboi Carti"
472,Trevor Daniel,"['alternative r&b', 'melodic rap', 'pop', 'pop rap']",645237,"Arizona Zervas, Tyla Yaweh, blackbear"
473,Trinidad Cardona,[],114860,"Bryson Tiller, H.E.R., PARTYNEXTDOOR, Kehlani, Brent Faiyaz, Vedo"
474,Trio Vegabajeño,"['musica jibara', 'puerto rican folk']",9326,
475,Trippie Redd,"['melodic rap', 'rap', 'trap']",6687646,"Cordae, Gunna, Lil Yachty, Polo G, Internet Money, Lil Tecca, Lil Uzi Vert, Lil Mosey, YNW Melly, NAV"
476,Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino']",2320499,"Bizarrap, KHEA"
477,Twenty One Pilots,"['modern rock', 'rock']",21169100,Panic! At The Disco
478,Ty Dolla $ign,"['hip hop', 'pop', 'pop rap', 'r&b', 'trap', 'trap soul']",3931489,"Mustard, PARTYNEXTDOOR, French Montana, K CAMP, Tory Lanez, Tyla Yaweh"
479,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6342673,"Ty Dolla $ign, French Montana, DJ Khaled, Meek Mill, Tory Lanez, Big Sean"
480,Tyla Yaweh,"['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap']",376464,"SAINt JHN, Arizona Zervas, NAV, Lil Mosey"
481,Tyler,"['hip hop', 'rap']",7055307,"BROCKHAMPTON, Childish Gambino"
482,Ufo361,"['german cloud rap', 'german hip hop']",1720311,"Zuna, Bausa, Dardan, 187 Strassenbande, KitschKrieg, KC Rebell"
483,VIZE,"['dance pop', 'edm', 'german dance', 'pop dance', 'slap house', 'tropical house']",147875,
484,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']",2457266,"Hozier, Tom Odell"
485,Vedo,"['pop r&b', 'r&b']",275901,
486,Vegedream,"['francoton', 'pop urbaine']",1255123,"Gradur, Aya Nakamura"
487,Vicetone,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",383704,
488,WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1690339,"Kali Uchis, SZA"
489,Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",331058,Brett Eldredge
490,Wallows,"['indie pop', 'modern rock', 'pop']",2027184,Conan Gray
491,Wesley Safadão,['forro'],10112904,"Jonas Esticado, Diego & Victor Hugo"
492,Wham!,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1682114,
493,WhoHeem,['viral rap'],25991,
494,Wisin,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",7084249,"Jowell & Randy, Arcangel, Nicky Jam, Yandel, Farruko"
495,XXXTENTACION,"['emo rap', 'miami hip hop']",30994065,"Trippie Redd, Lil Yachty, Internet Money, A Boogie Wit da Hoodie, Lil Uzi Vert, iann dior"
496,Y2K,['pop rap'],271832,
497,YNW Melly,"['melodic rap', 'trap']",6577900,"Roddy Ricch, DaBaby, Cordae, Lil Yachty, A Boogie Wit da Hoodie, Lil Tecca, Lil Mosey, NAV"
498,Yandel,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",5293485,"Wisin, Jowell & Randy, Nicky Jam, Arcangel"
499,Young Stoner Life,"['rap', 'trap']",62765,"Gunna, Lil Yachty"
500,ZAYN,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",17296921,"One Direction, Niall Horan, Shawn Mendes, Halsey, Harry Styles, Camila Cabello, Selena Gomez, Liam Payne, 5 Seconds of Summer, Bazzi"
501,Zoe Wees,['german pop'],232086,"Sam Fischer, Mimi Webb, Nea"
502,Zuna,"['albanian hip hop', 'german hip hop']",911193,Dardan
503,a-ha,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1596491,
504,benny blanco,"['electropop', 'pop', 'pop rap']",824734,"Bazzi, Internet Money, Arizona Zervas, Trevor Daniel"
505,blackbear,"['pop', 'pop rap']",4381561,"benny blanco, iann dior, Trevor Daniel, jxdn"
506,dhruv,"['chill r&b', 'nyc pop']",117186,
507,iann dior,"['melodic rap', 'pop rap']",1342876,"Internet Money, Lil Mosey, 24kGoldn, Arizona Zervas, jxdn, Tyla Yaweh"
508,jxdn,"['pop', 'pop rap']",839963,iann dior
509,salem ilese,"['alt z', 'modern indie pop', 'social media pop']",142585,
510,sangiovanni,[],448108,"Madame, BLANCO"
511,twocolors,"['edm', 'pop dance', 'pop edm', 'tropical house']",38952,Topic
