ID,Label,Genres,Followers,Related Artist
157,Francesca Michielin,"['italian adult pop', 'italian indie pop', 'italian pop', 'italian pop rock']",581971,
158,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",5068565,"Nat King Cole, Perry Como, Andy Williams, Tony Bennett, Bing Crosby, Dean Martin"
159,French Montana,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4112326,Meek Mill
160,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",10665633,"Gunna, Lil Yachty, French Montana, 21 Savage, Meek Mill, NAV"
161,G Herbo,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",1288087,Pooh Shiesty
162,G-Eazy,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",4930736,"Joyner Lucas, Logic, French Montana, Ty Dolla $ign, Tyla Yaweh"
163,Galantis,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",3142335,Sam Feldt
164,Gambi,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",8303952,"BROCKHAMPTON, Kendrick Lamar, Mac Miller, Kid Cudi"
165,Gera MX,"['mexican hip hop', 'rap conciencia']",2267586,
166,Giveon,"['pop', 'r&b']",1594428,"Brent Faiyaz, PARTYNEXTDOOR, Bryson Tiller"
167,Gjon's Tears,[],33296,"Daði Freyr, Barbara Pravi, Go_A"
168,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",2035019,
169,Go_A,['eurovision'],116467,"Daði Freyr, Gjon's Tears"
170,Gotye,['australian pop'],2271473,
171,Gradur,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']",1425574,"Maes, Ninho"
172,Gunna,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",3486655,"Roddy Ricch, Don Toliver, Lil Baby, Lil Uzi Vert, 21 Savage, NAV"
173,Gusttavo Lima,"['sertanejo', 'sertanejo universitario']",13511271,"Luan Santana, Jorge & Mateus"
174,Gwen Stefani,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",4910679,"Nelly Furtado, Britney Spears, Kylie Minogue"
175,Gym Class Heroes,"['dance pop', 'pop rap']",1293785,Panic! At The Disco
176,Gzuz,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",1152871,"Bonez MC, KC Rebell, 187 Strassenbande, KALIM"
177,H.E.R.,"['alternative r&b', 'dance pop', 'pop', 'r&b']",4326781,"Normani, Kehlani, SZA, Brent Faiyaz"
178,HVME,['slap house'],44338,
179,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",16089316,"Lorde, Melanie Martinez, Madison Beer, Ellie Goulding, Camila Cabello, Selena Gomez, Demi Lovato, Bea Miller"
180,Harry Nach,"['trap chileno', 'trap latino']",143378,
181,Harry Styles,['pop'],16929807,"One Direction, Lorde, Jonas Brothers, Niall Horan, ZAYN, Shawn Mendes, Halsey, Liam Payne, 5 Seconds of Summer, Conan Gray, The 1975"
182,Headie One,['uk hip hop'],343632,
183,Henrique & Juliano,['sertanejo universitario'],13525819,"Jonas Esticado, Israel & Rodolffo, Diego & Victor Hugo"
184,Hippie Sabotage,"['edm', 'electronic trap']",725941,
185,Hozier,"['irish singer-songwriter', 'modern rock', 'pop']",4862511,"BØRNS, Vance Joy"
186,Hugo & Guilherme,['sertanejo pop'],484134,
187,ITZY,['k-pop girl group'],2665284,
188,IU,['k-pop'],5452498,
189,Idina Menzel,"['hollywood', 'show tunes']",360791,
190,Imagine Dragons,"['modern rock', 'pop', 'rock']",36043809,"OneRepublic, Twenty One Pilots, BANNERS"
191,Ingratax,['concurso de talentos argentino'],106001,"Boza, Nio Garcia, Manuel Turizo, Sech, Mora, Justin Quiles, Cali Y El Dandee, MYA, Jay Wheeler, Rusherking"
192,Internet Money,"['rap', 'trap']",462914,"Don Toliver, Gunna, NAV, DDG, Lil Tecca, Lil Mosey, iann dior, Tyla Yaweh"
193,Israel & Rodolffo,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1193957,"Diego & Victor Hugo, Henrique & Juliano"
