Id,Artist
259,Lewis Capaldi
260,Liam Payne
261,Lil Baby
262,Lil Mosey
263,Lil Nas X
264,Lil Peep
265,Lil Tecca
266,Lil Tjay
267,Lil Uzi Vert
268,Lil Wayne
269,Lil Yachty
270,Linkin Park
271,Little Mix
272,Lizzo
273,Logic
274,Lorde
275,Los Legendarios
276,Luan Santana
277,Luciano
278,Luke Combs
279,Lunay
280,Luísa Sonza
281,MARINA
282,MAX
283,MC Kevin o Chris
284,MC Zaquin
285,MEDUZA
286,MYA
287,Mabel
288,Mac Miller
289,Machine Gun Kelly
290,Macklemore & Ryan Lewis
291,Madame
292,Madison Beer
293,Maes
294,Majestic
295,Major Lazer
296,Malu
297,Maluma
298,Manuel Turizo
299,Marc Seguí
300,Mari Fernandez
301,Mariah Carey
302,Maroon 5
303,Marshmello
304,Martin Garrix
305,Masked Wolf
306,Master KG
307,Matheus Fernandes
308,Matthew Wilder
309,Matuê
310,Mc Davi
311,Mc Poze do Rodo
312,Mc Zaac
313,Meek Mill
314,Megan Thee Stallion
315,Meghan Trainor
316,Melanie Martinez
317,Michael Bublé
318,Michael Jackson
319,Migos
320,Migrantes
321,Miksu / Macloud
322,Miley Cyrus
323,Milly
324,Mimi Webb
325,Money Man
326,Mora
327,Morgan Wallen
328,Mother Mother
329,Murda
330,Mustard
331,Myke Towers
332,Mykola Dmytrovych Leontovych
333,Måneskin
334,NAV
335,NF
336,NLE Choppa
337,Nat King Cole
338,Natalie Taylor
339,Nathan Evans
340,Natti Natasha
341,Nea
342,Nelly Furtado
343,Niack
344,Niall Horan
345,Nicki Minaj
346,Nicky Jam
347,Ninho
348,Nio Garcia
349,Nirvana
350,Noah Cyrus
351,Normani
352,Oasis
353,Octavian
354,Ofenbach
355,Olivia Rodrigo
356,One Direction
357,OneRepublic
358,Os Barões Da Pisadinha
359,Ozuna
360,P!nk
361,PARTYNEXTDOOR
362,PEDRO SAMPAIO
363,PUBLIC
364,Pamungkas
365,Panic! At The Disco
366,Pashanim
367,Passenger
368,Paul McCartney
369,Peach Tree Rascals
370,Pedro Capó
371,Pentatonix
372,Perry Como
373,Petter Ferraz
374,Pink Sweat$
375,Piso 21
376,Playboi Carti
377,Polo G
378,Pooh Shiesty
379,Pop Smoke
380,Post Malone
381,Powfu
382,Queen
383,RAF Camora
384,ROSALÍA
385,ROSÉ
386,Rauw Alejandro
387,Raí Saia Rodada
388,Red Velvet
389,Red Velvet - IRENE & SEULGI
390,Regard
391,Reik
392,Residente
393,Rich Music LTD
394,Riton
395,Ritt Momney
396,Robin Schulz
397,Rochy RD
398,Rod Wave
399,Roddy Ricch
400,Rusherking
401,Russ Millions
402,Rvssian
403,S1mba
404,SAINt JHN
405,SHAED
406,SZA
407,Sabrina Carpenter
408,Sam Feldt
409,Sam Fischer
410,Sam Smith
411,Samra
412,Sara Kays
413,Sarah Cothran
414,Saweetie
415,Sebastian Yatra
416,Sech
417,Selena Gomez
418,Sfera Ebbasta
419,Shablo
420,Shakin' Stevens
421,Shakira
422,Shawn Mendes
423,Shirin David
424,Shiva
425,Shouse
426,Sia
427,Sleepy Hallow
428,Smiley
429,Soso Maness
430,StarBoi3
431,StaySolidRocky
432,Stevie Wonder
433,Stormzy
434,Studio Killers
435,Sub Urban
436,Super Yei
437,Surf Curse
438,Surf Mesa
439,Surfaces
440,THE SCOTTS
441,TINI
442,TOKYO’S REVENGE
443,TOMORROW X TOGETHER
444,TWICE
445,Tainy
446,Tame Impala
447,Tarcísio do Acordeon
448,Tate McRae
449,Taylor Swift
450,The 1975
451,The Beach Boys
452,The Chainsmokers
453,The Jackson 5
454,The Kid LAROI
455,The Killers
456,The Neighbourhood
457,The Pogues
458,The Police
459,The Ronettes
460,The Weeknd
461,Thiaguinho MT
462,Tiago PZK
463,Tion Wayne
464,Tiësto
465,Tom Grennan
466,Tom Odell
467,Tones And I
468,Tony Bennett
469,Topic
470,Tory Lanez
471,Travis Scott
472,Trevor Daniel
473,Trinidad Cardona
474,Trio Vegabajeño
475,Trippie Redd
476,Trueno
477,Twenty One Pilots
478,Ty Dolla $ign
479,Tyga
480,Tyla Yaweh
481,Tyler
482,Ufo361
483,VIZE
484,Vance Joy
485,Vedo
486,Vegedream
487,Vicetone
488,WILLOW
489,Walker Hayes
490,Wallows
491,Wesley Safadão
492,Wham!
493,WhoHeem
494,Wisin
495,XXXTENTACION
496,Y2K
497,YNW Melly
498,Yandel
499,Young Stoner Life
500,ZAYN
501,Zoe Wees
502,Zuna
503,a-ha
504,benny blanco
505,blackbear
506,dhruv
507,iann dior
508,jxdn
509,salem ilese
510,sangiovanni
511,twocolors
