Id,Artist,Genres,Followers
184,Hippie Sabotage,"['edm', 'electronic trap']",725941
185,Hozier,"['irish singer-songwriter', 'modern rock', 'pop']",4862511
186,Hugo & Guilherme,['sertanejo pop'],484134
187,ITZY,['k-pop girl group'],2665284
188,IU,['k-pop'],5452498
189,Idina Menzel,"['hollywood', 'show tunes']",360791
190,Imagine Dragons,"['modern rock', 'pop', 'rock']",36043809
191,Ingratax,['concurso de talentos argentino'],106001
192,Internet Money,"['rap', 'trap']",462914
193,Israel & Rodolffo,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1193957
194,J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",30006178
195,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14573804
196,JACKBOYS,"['rap', 'trap']",449405
197,JP Saxe,"['alt z', 'canadian contemporary r&b', 'electropop', 'pop', 'pop rock']",293816
198,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",1192888
199,James Arthur,"['pop', 'talent show', 'uk pop']",8683038
200,Jamie Miller,['pop soul'],104949
201,Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",10081952
202,Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",6261764
203,Jawsh 685,['nz pop'],102351
204,Jay Wheeler,"['latin', 'reggaeton', 'trap latino']",1901262
205,Jerry Di,"['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'reggaeton flow', 'trap latino']",158881
206,Jhay Cortez,"['latin', 'reggaeton', 'trap latino']",2692470
207,Jhené Aiko,"['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",4853949
208,Joel Corry,"['dance pop', 'pop', 'pop dance', 'tropical house', 'uk dance']",219754
209,John Legend,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",5910198
210,John Lennon,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",4417570
211,John Mayer,"['neo mellow', 'pop rock', 'singer-songwriter']",5250947
212,Joji,"['alternative r&b', 'pop', 'viral pop']",4929660
213,Joker Bra,['german hip hop'],190616
214,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",5591393
215,Jonas Esticado,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",1360114
216,Jorge & Mateus,"['sertanejo', 'sertanejo universitario']",15302226
217,José Feliciano,"['bolero', 'latin pop', 'puerto rican pop']",247245
218,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",3841560
219,Jowell & Randy,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",3007796
220,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",1758975
221,João Gomes,[],807973
222,Juanfran,"['dominican pop', 'pop reggaeton', 'urbano espanol']",119256
223,Juice WRLD,"['chicago rap', 'melodic rap']",19872480
224,Juju,['cumbia sonidera'],13802
225,Justin Bieber,"['canadian pop', 'pop']",50928824
226,Justin Quiles,"['latin', 'reggaeton', 'trap latino']",2987994
227,Justin Timberlake,"['dance pop', 'pop']",11241025
228,Justin Wellington,"['melanesian pop', 'pacific islands pop', 'png pop']",22262
229,K CAMP,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",1368571
230,K/DA,['k-pop girl group'],1321105
231,KALIM,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol']",1528676
232,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",18813844
233,KASIMIR1441,"['german alternative rap', 'german hip hop', 'german trap', 'tekk']",202436
234,KC Rebell,"['german drill', 'german hip hop']",1115696
235,KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",3364936
236,KSI,['uk hip hop'],2108117
237,Kali Uchis,"['colombian pop', 'pop']",2136847
238,Kane Brown,"['contemporary country', 'country', 'country road']",3615409
239,Kanye West,"['chicago rap', 'rap']",15226801
240,Katy Perry,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",19388108
241,Kawe,['brazilian hip hop'],508909
242,Kehlani,"['dance pop', 'pop', 'r&b']",5073104
243,Kelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",8034527
244,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",18399860
245,Kevin Roldan,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",4147473
246,Khalid,"['pop', 'pop r&b']",14379161
247,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",5146137
248,Kina,"['sad lo-fi', 'sad rap']",675356
249,KitschKrieg,"['german hip hop', 'german pop', 'hamburg hip hop']",169764
250,Kontra K,"['christlicher rap', 'german hip hop']",1848913
251,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",7710034
252,Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",1360151
253,Labrinth,"['indie poptimism', 'pop']",1722474
254,Lady Gaga,"['dance pop', 'pop']",19320868
255,Lana Del Rey,"['art pop', 'pop']",14127051
256,Lauv,"['dance pop', 'electropop', 'pop']",4559510
257,Lele Pons,"['latin pop', 'viral pop']",831351
258,Leona Lewis,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",2951500
259,Lewis Capaldi,"['pop', 'uk pop']",8657230
260,Liam Payne,"['dance pop', 'pop', 'post-teen pop']",8334831
261,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",8321290
262,Lil Mosey,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",3970785
263,Lil Nas X,"['lgbtq+ hip hop', 'pop']",6576617
264,Lil Peep,"['emo rap', 'lgbtq+ hip hop']",7881475
265,Lil Tecca,"['melodic rap', 'rap', 'trap']",4275478
266,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",3862003
267,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",12101477
268,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",10903447
269,Lil Yachty,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'viral rap']",7481566
270,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",20072933
271,Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",9583377
272,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",4122226
273,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5505659
274,Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",8389774
275,Los Legendarios,"['reggaeton', 'trap latino']",47211
276,Luan Santana,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",5565362
277,Luciano,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",669436
278,Luke Combs,"['contemporary country', 'country']",5588175
279,Lunay,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",5262623
280,Luísa Sonza,"['funk carioca', 'pop nacional']",2069095
281,MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",3042038
282,MAX,"['dance pop', 'pop']",4212713
283,MC Kevin o Chris,"['funk 150 bpm', 'funk carioca']",2788848
284,MC Zaquin,"['funk bh', 'funk carioca']",163592
285,MEDUZA,"['edm', 'pop dance', 'pop house', 'tropical house']",450850
